name,title,xpath,grid_name,parent_grid_name,type,widget,container,format,ignore_empty,ignore_autocalc_check,export_result,force_def_val,disabled,readonly,required,weight,allow_cyrillic,default_value,options,attributes,class,rows,minlength,maxlength,decimal_length,pattern,exclude_from_xml,extensions,max_size,tag
dec_fiscCod_name,Entitatea,dec/fiscCod/name,,,text,textfield,,,0,0,0,0,0,1,1,1,0,@agent_name,,,text,0,0,0,0,,0,,,
dec_fiscCod_street,Strada,dec/fiscCod/street,,,text,textfield,,,0,0,0,0,0,1,0,2,0,@street,,,,0,0,100,0,,0,,,
dec_fiscCod_postal,MD,dec/fiscCod/postal,,,numeric,textfield,,,0,0,0,0,0,0,0,0,0,,,,,0,0,4,0,,0,,,
dec_fiscCod_fisc,Raionul(municipiul),dec/fiscCod/fisc,,,custom,select,%02d,%02d,0,0,0,0,0,1,1,3,0,@ifs,<?php return classifiers_get_list('ifs'); ?>,,,0,2,2,0,,0,,,
dec_fiscCod_cuatm,Cod CUATM,dec/fiscCod/cuatm,,,custom,select,%04d,%04d,0,0,0,0,0,1,1,4,0,@cuatm,<?php return classifiers_get_list('cuatm'); ?>,,,0,4,4,0,,0,,,
dec_fiscCod_cfp,Forma de proprietate,dec/fiscCod/cfp,,,text,select2,,,0,0,0,0,0,0,1,6,0,@cuiio_cfp_code,<?php return classifiers_get_list('forma_de_proprietate'); ?>,,text,0,0,300,0,,0,,,
dec_fiscCod_cfoj,Forma organizatorico-juridică,dec/fiscCod/cfoj,,,text,select2,,,0,0,0,0,0,0,1,7,0,@cuiio_cfoj_code,<?php return classifiers_get_list('forma_organizatorico_juridica'); ?>,,text,0,0,300,0,,0,,,
dec_fiscCod_caem,Activitatea principală,dec/fiscCod/caem,,,text,select2,,,0,0,0,0,0,0,1,8,0,@cuiio_caem_code,<?php return declarations_get_caem_list('vocabulary_18'); ?>,,text,0,0,300,0,,0,,,
dec_fiscCod_fiscal,Codul fiscal,dec/fiscCod/fiscal,,,text,textfield,,,0,0,0,0,1,0,0,9,0,@fisccode,,,text,0,0,15,0,,0,,,
dec_fiscCod_telefon,Numar telefon,dec/fiscCod/telefon,,,text,textfield,,,0,0,0,0,0,0,0,11,0,@cuiio_telefon,,,,0,0,12,0,,0,,,
,Period,,,,period_type,hidden,,,0,0,0,0,0,0,0,12,0,A,,,,0,0,0,0,,0,,,
,Period,,,,period_year,select,,,0,0,0,0,0,0,0,14,0,,,,,0,0,0,0,,0,,,
dec_peroidnalog_datefisc,Period,dec/peroidnalog/datefisc,,,period,hidden,,,0,0,0,0,0,0,1,15,0,,,,,0,0,0,0,,0,,,
dec_period_from,Situații financiare pentru perioada (de la data),dec/period/from,,,date,textfield,,,0,0,0,0,0,0,1,14,0,,,,,0,0,0,0,,0,,,
dec_period_to,Situații financiare pentru perioada (pînă la data),dec/period/to,,,date,textfield,,,0,0,0,0,0,0,1,14,0,,,,,0,0,0,0,,0,,,
dec_fiscCod_cuiio,Cod CUIÎO,dec/fiscCod/cuiio,,,numeric,textfield,,,0,0,0,0,0,0,1,16,0,@cuiio,,,text,0,5,8,0,,0,,,
dec_pers_respons,Persoanele responsabile,dec/pers/respons,,,text,textfield,,textfield,0,0,0,0,0,0,0,0,0,,,,text,0,0,100,0,,0,,,
dec_lichidare,De lichidare,dec/lichidare,,,text,checkbox,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,,
dec_fiscCod_web,WEB,dec/fiscCod/web,,,text,textfield,,,0,0,0,0,0,0,0,18,0,,,,,0,0,20,0,,0,,,
dec_fiscCod_email,e-mail,dec/fiscCod/email,,,text,textfield,,,0,0,0,0,0,0,0,19,0,@email,,,,0,0,60,0,,0,,,
dec_contabil_name,Numele contabilului-șef,dec/contabil/name,,,text,textfield,,textfield,0,0,0,0,0,0,0,20,0,,,,text,0,0,0,0,,0,,,
dec_contabil_telefon,Numar telefon al contabilului-șef,dec/contabil/telefon,,,text,textfield,,,0,0,0,0,0,0,0,21,0,,,,,0,0,20,0,,0,,,
dec_fiscCod_nrEmployees,Numărul mediu al salariaților în perioada de gestiune,dec/fiscCod/nrEmployees,,,numeric,textfield,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,,
dec_fiscCod_employeesAbs,Confirmați lipsa salariaților,dec/fiscCod/employeesAbs,,,text,checkbox,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,,
dec_table1_row_date,"Bilanțul la (data), Anexa 1",dec/table1/row/date,,,date,textfield,,,0,0,0,0,0,0,0,14,0,,,,,0,0,20,0,,0,,,
dec_table1_row_r010c4,Anexa 1 Rînd. 010 col.4,dec/table1/row/r010c4,,,numeric,textfield,,,0,0,0,0,0,0,0,14,0,,,,,0,0,20,0,,0,,,
dec_table1_row_r010c5,Anexa 1 Rînd. 010 col.5,dec/table1/row/r010c5,,,numeric,textfield,,,0,0,0,0,0,0,0,14,0,,,,,0,0,20,0,,0,,,
